AgencyName,RdwyNumber,Street,StreetDir,RoadwayName,StreetSfx,OWNER,ROAD_CLASSIFICATION,COUNCIL_DISTRICT,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,DAY_OF_WEEK,CollisionDate,CollisionTime,HOUR_OF_DAY,UnitsInvolved,MotorVehiclesInvolved,MODE,AGE,GENDER,INJURY,FATALITY,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,IsSecondaryCollision
LOUISVILLE METRO POLICE DEPT,KY0864,,,POPLAR LEVEL,RD,STATE,MAJOR ARTERIAL,0,,INDIAN,,,,,WEDNESDAY,2018/02/07 11:09:00+00,609,6AM,2,1,PEDESTRIAN,22,FEMALE,FALSE,TRUE,RAINING,WET,TRUE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY2055,,W,MANSLICK,RD,STATE,PRIMARY COLLECTOR,0,,,,,,,WEDNESDAY,2018/02/07 15:59:00+00,1059,10AM,1,1,MOTOR VEHICLE,27,MALE,TRUE,FALSE,OTHER,WET,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,ASHBY,LN,METRO,PRIMARY COLLECTOR,0,,,,JANNA,,TWILIGHT,THURSDAY,2018/02/08 12:13:00+00,713,7AM,1,1,MOTOR VEHICLE,18,MALE,TRUE,FALSE,CLEAR,ICE,FALSE,,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1934,,,CANE RUN,RD,STATE,MAJOR ARTERIAL,0,,,,,,,THURSDAY,2018/02/08 22:58:00+00,1758,5PM,4,4,MOTOR VEHICLE,25,FEMALE,TRUE,FALSE,CLOUDY,DRY,FALSE,,REAR END,STRAIGHT & LEVEL,DUSK,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1934,,,CANE RUN,RD,STATE,MAJOR ARTERIAL,0,,,,,,,THURSDAY,2018/02/08 22:58:00+00,1758,5PM,4,4,MOTOR VEHICLE,32,FEMALE,TRUE,FALSE,CLOUDY,DRY,FALSE,,REAR END,STRAIGHT & LEVEL,DUSK,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1934,,,CANE RUN,RD,STATE,MAJOR ARTERIAL,0,,,,,,,THURSDAY,2018/02/08 22:58:00+00,1758,5PM,4,4,MOTOR VEHICLE,37,MALE,TRUE,FALSE,CLOUDY,DRY,FALSE,,REAR END,STRAIGHT & LEVEL,DUSK,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0042,,,US42,,STATE,MAJOR ARTERIAL,0,KY0022C,SEMINARY,,,,,FRIDAY,2018/02/09 22:33:00+00,1733,5PM,3,3,MOTOR VEHICLE,69,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,REAR END,STRAIGHT & HILLCREST,DUSK,,,TRUE
LOUISVILLE METRO POLICE DEPT,KY0155,4400,,TAYLORSVILLE,RD,STATE,MAJOR ARTERIAL,0,,,,,,,SATURDAY,2018/02/11 03:15:00+00,2215,10PM,4,4,MOTOR VEHICLE,19,FEMALE,TRUE,FALSE,RAINING,WET,FALSE,,HEAD ON,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,GOLDSMITH,LN,METRO,PRIMARY COLLECTOR,0,,,,BON AIR,,BON AIR,SUNDAY,2017/08/20 10:52:00+00,652,6AM,2,2,MOTOR VEHICLE,26,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,CURVE & GRADE,DAWN,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,GOLDSMITH,LN,METRO,PRIMARY COLLECTOR,0,,,,BON AIR,,BON AIR,SUNDAY,2017/08/20 10:52:00+00,652,6AM,2,2,MOTOR VEHICLE,30,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,CURVE & GRADE,DAWN,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY0061,,,PRESTON,HWY,STATE,MAJOR ARTERIAL,0,,GILMORE,,,,,SUNDAY,2017/08/21 01:07:00+00,2107,9PM,2,2,MOTOR VEHICLE,29,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0065,,,I-65,,FEDERAL,INTERSTATE,0,,,,,,,MONDAY,2017/08/21 23:01:00+00,1901,7PM,2,2,MOTOR VEHICLE,52,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,TRUE
LOUISVILLE METRO POLICE DEPT,KY1865,5444,,NEW CUT,RD,STATE,MAJOR ARTERIAL,0,,,,,,,WEDNESDAY,2017/08/23 17:00:00+00,1300,1PM,2,2,MOTOR VEHICLE,36,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,REAR END,STRAIGHT & HILLCREST,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1230,8360,,CANE RUN,RD,STATE,PRIMARY COLLECTOR,0,,,,,,,THURSDAY,2017/08/24 14:43:00+00,1043,10AM,2,2,MOTOR VEHICLE,29,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1230,8360,,CANE RUN,RD,STATE,PRIMARY COLLECTOR,0,,,,,,,THURSDAY,2017/08/24 14:43:00+00,1043,10AM,2,2,MOTOR VEHICLE,59,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1934,,,GREENBELT,HWY,STATE,MAJOR ARTERIAL,0,,TRADE PORT,,,,,THURSDAY,2017/08/24 18:56:00+00,1456,2PM,2,2,MOTORCYCLE,43,MALE,FALSE,TRUE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY0155,4082,,TAYLORSVILLE,RD,STATE,MAJOR ARTERIAL,0,,,,,,,THURSDAY,2017/08/25 02:40:00+00,2240,10PM,2,2,MOTOR VEHICLE,26,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY0155,4082,,TAYLORSVILLE,RD,STATE,MAJOR ARTERIAL,0,,,,,,,THURSDAY,2017/08/25 02:40:00+00,2240,10PM,2,2,MOTOR VEHICLE,24,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY0155,4082,,TAYLORSVILLE,RD,STATE,MAJOR ARTERIAL,0,,,,,,,THURSDAY,2017/08/25 02:40:00+00,2240,10PM,2,2,MOTOR VEHICLE,53,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,OXMOOR,LN,METRO,LOCAL,0,,,,OXMOOR,,BULLITT,FRIDAY,2017/08/25 04:01:00+00,1,12AM,1,1,MOTOR VEHICLE,28,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,BEARGRASS,RD,METRO,LOCAL,0,,,,RED FOX,,PARK BOUNDARY,SATURDAY,2017/08/26 13:30:00+00,930,9AM,3,0,PEDESTRIAN,35,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,BEARGRASS,RD,METRO,LOCAL,0,,,,RED FOX,,PARK BOUNDARY,SATURDAY,2017/08/26 13:30:00+00,930,9AM,3,0,PEDESTRIAN,49,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1065,,,OUTER,LOOP,STATE,MAJOR ARTERIAL,0,,MINOR,,,,,SATURDAY,2017/08/26 22:24:00+00,1824,6PM,2,2,MOTOR VEHICLE,22,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1065,,,OUTER,LOOP,STATE,MAJOR ARTERIAL,0,,MINOR,,,,,SATURDAY,2017/08/26 22:24:00+00,1824,6PM,2,2,MOTOR VEHICLE,22,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1020,,,NATIONAL,TPKE,STATE,MINOR ARTERIAL,0,,,,,,,SUNDAY,2017/08/27 09:30:00+00,530,5AM,1,1,MOTOR VEHICLE,20,FEMALE,TRUE,FALSE,CLEAR,DRY,TRUE,,SINGLE VEHICLE,CURVE & GRADE,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY0907,,,VALLEY STATION,RD,STATE,MINOR ARTERIAL,0,,,,DEERING,,RENAISSANCE VALLEY,MONDAY,2017/08/29 00:16:00+00,2016,8PM,2,2,MOTOR VEHICLE,63,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,HEAD ON,CURVE & LEVEL,DUSK,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1631,,,CRITTENDEN,DR,STATE,MINOR ARTERIAL,0,,,,PHILLIPS,,PARK,MONDAY,2017/08/29 00:45:00+00,2045,8PM,2,2,MOTOR VEHICLE,55,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1631,,,CRITTENDEN,DR,STATE,MINOR ARTERIAL,0,,,,PHILLIPS,,PARK,MONDAY,2017/08/29 00:45:00+00,2045,8PM,2,2,MOTOR VEHICLE,21,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0071,,,I-71,,FEDERAL,INTERSTATE,0,,,,,,,TUESDAY,2017/08/29 21:28:00+00,1728,5PM,1,1,MOTOR VEHICLE,56,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0064,,,I-64,,FEDERAL,INTERSTATE,0,,,,,,,THURSDAY,2017/08/31 07:06:00+00,306,3AM,2,2,MOTOR VEHICLE,27,MALE,TRUE,FALSE,CLOUDY,DRY,FALSE,,HEAD ON,CURVE & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1934,,,GREENBELT,HWY,STATE,MAJOR ARTERIAL,0,,RAGGARD,,,,,THURSDAY,2017/08/31 18:13:00+00,1413,2PM,3,3,MOTOR VEHICLE,29,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,E,BRECKINRIDGE,ST,METRO,PRIMARY COLLECTOR,0,KY0864,SHELBY,,,,,SATURDAY,2017/09/02 08:06:00+00,406,4AM,2,1,PEDESTRIAN,25,MALE,TRUE,FALSE,RAINING,WET,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY0907,,,3RD STREET,RD,STATE,MINOR ARTERIAL,0,,,KY1065,OUTER,,WISERTOWN,SATURDAY,2017/09/02 21:05:00+00,1705,5PM,2,2,MOTORCYCLE,23,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1447,,,WESTPORT,RD,STATE,MINOR ARTERIAL,0,,,,DOVE CREEK,,HERMITAGE,SATURDAY,2017/09/02 21:29:00+00,1729,5PM,1,1,MOTOR VEHICLE,29,MALE,FALSE,TRUE,CLEAR,DRY,FALSE,,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,FALSE
SHIVELY POLICE DEPARTMENT,US0031W,,,DIXIE,HWY,STATE,MAJOR ARTERIAL,0,,,,STALLINGS,,KLAGES,SATURDAY,2017/09/02 23:39:00+00,1939,7PM,2,1,PEDESTRIAN,32,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1020,,,SOUTHSIDE,DR,STATE,MINOR ARTERIAL,0,,,,CAMBRIDGE,,ARBOR,SUNDAY,2017/09/03 16:53:00+00,1253,12PM,2,2,MOTOR VEHICLE,23,MALE,TRUE,FALSE,CLOUDY,DRY,FALSE,,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0150,,E,BROADWAY,,STATE,MAJOR ARTERIAL,0,,HANCOCK,,,,,SUNDAY,2017/09/04 02:53:00+00,2253,10PM,3,3,MOTORCYCLE,34,MALE,FALSE,TRUE,CLOUDY,DRY,FALSE,,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1747,,N,HURSTBOURNE,PKWY,STATE,MAJOR ARTERIAL,0,,,,WHIPPS MILL,,HEADLEY HILL,MONDAY,2017/09/04 17:54:00+00,1354,1PM,3,3,MOTOR VEHICLE,39,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1931,,,ST ANDREWS CHURCH,RD,STATE,MINOR ARTERIAL,0,,ALAMETER,,,,,MONDAY,2017/09/04 18:38:00+00,1438,2PM,3,3,MOTOR VEHICLE,10,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1931,,,ST ANDREWS CHURCH,RD,STATE,MINOR ARTERIAL,0,,ALAMETER,,,,,MONDAY,2017/09/04 18:38:00+00,1438,2PM,3,3,MOTOR VEHICLE,35,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1931,,,ST ANDREWS CHURCH,RD,STATE,MINOR ARTERIAL,0,,ALAMETER,,,,,MONDAY,2017/09/04 18:38:00+00,1438,2PM,3,3,MOTOR VEHICLE,11,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1931,,,ST ANDREWS CHURCH,RD,STATE,MINOR ARTERIAL,0,,ALAMETER,,,,,MONDAY,2017/09/04 18:38:00+00,1438,2PM,3,3,MOTOR VEHICLE,7,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1931,,,ST ANDREWS CHURCH,RD,STATE,MINOR ARTERIAL,0,,ALAMETER,,,,,MONDAY,2017/09/04 18:38:00+00,1438,2PM,3,3,MOTOR VEHICLE,46,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1020,,,SOUTHSIDE,DR,STATE,MINOR ARTERIAL,0,KY1020,NATIONAL,,,,,MONDAY,2017/09/04 22:08:00+00,1808,6PM,1,1,MOTORCYCLE,56,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,FERN CREEK,RD,METRO,PRIMARY COLLECTOR,0,KY1065,BEULAH CHURCH,,,,,TUESDAY,2017/09/05 11:13:00+00,713,7AM,2,1,PEDESTRIAN,56,FEMALE,TRUE,FALSE,RAINING,WET,FALSE,,SINGLE VEHICLE,STRAIGHT & GRADE,DAWN,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0265,,,I-265,,FEDERAL,INTERSTATE,0,,,,,,,THURSDAY,2017/09/07 09:51:00+00,551,5AM,2,2,MOTORCYCLE,67,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,REAR END,STRAIGHT & HILLCREST,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,GREENVIEW,DR,METRO,LOCAL,0,,,,,,,THURSDAY,2017/09/07 19:40:00+00,1540,3PM,1,1,MOTOR VEHICLE,65,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,BRADBE,RD,METRO,SECONDARY COLLECTOR,0,,,,BRADBE FARM,,BRADBE MEADOWS,FRIDAY,2017/09/08 05:19:00+00,119,1AM,2,1,PEDESTRIAN,27,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & HILLCREST,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1727,,,TERRY,RD,STATE,MINOR ARTERIAL,0,,WESTSHIRE,,,,,FRIDAY,2017/09/08 12:49:00+00,849,8AM,2,2,MOTOR VEHICLE,66,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & GRADE,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY0061,,,PRESTON,HWY,STATE,MAJOR ARTERIAL,0,,,,HART,,AUDUBON,FRIDAY,2017/09/08 17:12:00+00,1312,1PM,2,2,MOTORCYCLE,72,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0031E,,,BARDSTOWN,RD,STATE,MAJOR ARTERIAL,0,,ALFRESCO,,,,,FRIDAY,2017/09/09 00:41:00+00,2041,8PM,2,2,MOTOR VEHICLE,22,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0031E,,,BARDSTOWN,RD,STATE,MAJOR ARTERIAL,0,,,,,,,FRIDAY,2017/09/09 03:13:00+00,2313,11PM,2,2,MOTORCYCLE,34,MALE,FALSE,TRUE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY3084,,,OLD HENRY,RD,STATE,MINOR ARTERIAL,0,I 0265,I265 S EXIT29 ON RAMP FROM KY3084 W,,,,,SATURDAY,2017/09/09 22:05:00+00,1805,6PM,2,2,MOTOR VEHICLE,52,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & GRADE,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,S,24TH,ST,METRO,LOCAL,0,,CHESTNUT,,,,,SUNDAY,2017/09/10 23:28:00+00,1928,7PM,2,2,MOTORCYCLE,50,MALE,FALSE,TRUE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0064,,,I-64,,FEDERAL,INTERSTATE,0,,,,,,,TUESDAY,2017/09/12 14:20:00+00,1020,10AM,1,1,MOTOR VEHICLE,40,FEMALE,TRUE,FALSE,CLOUDY,DRY,FALSE,,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,SPRINGDALE,RD,METRO,PRIMARY COLLECTOR,0,,,,PARK PLAZA,KY0022,BROWNSBORO,WEDNESDAY,2017/09/13 19:32:00+00,1532,3PM,2,2,MOTOR VEHICLE,23,FEMALE,TRUE,FALSE,RAINING,WET,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0060,,,SHELBYVILLE,RD,STATE,MAJOR ARTERIAL,0,,,,,,,WEDNESDAY,2017/09/13 21:14:00+00,1714,5PM,2,2,MOTOR VEHICLE,65,MALE,TRUE,FALSE,RAINING,WET,FALSE,,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,717,,LYNDON,LN,METRO,PRIMARY COLLECTOR,0,,,,,,,WEDNESDAY,2017/09/14 00:06:00+00,2006,8PM,2,2,MOTOR VEHICLE,51,MALE,TRUE,FALSE,RAINING,WET,FALSE,,HEAD ON,STRAIGHT & LEVEL,DUSK,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,S,39TH,ST,METRO,LOCAL,0,,BROADWAY,,,,,THURSDAY,2017/09/14 21:24:00+00,1724,5PM,2,2,MOTORCYCLE,36,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0150,,W,BROADWAY,,STATE,MAJOR ARTERIAL,0,,,KY1020,2ND,KY1020,3RD,FRIDAY,2017/09/15 20:49:00+00,1649,4PM,2,1,PEDESTRIAN,50,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY0864,,,POPLAR LEVEL,RD,STATE,MAJOR ARTERIAL,0,,NAOMI,,,,,SATURDAY,2017/09/16 15:37:00+00,1137,11AM,2,2,MOTOR VEHICLE,90,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1447,,,WESTPORT,RD,STATE,MINOR ARTERIAL,0,,,I 0264,I264 E EXIT21 OFF RAMP TO KY1447,,WASHBURN,SATURDAY,2017/09/16 23:22:00+00,1922,7PM,3,3,MOTORCYCLE,70,MALE,FALSE,TRUE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & GRADE,DUSK,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY0841,,,GENE SNYDER,FWY,STATE,FREEWAY,0,,,KY0841,KY841 RAMP FROM KY1020,KY0841,KY841 RAMP TO KY1865,SUNDAY,2017/09/17 15:27:00+00,1127,11AM,4,4,MOTOR VEHICLE,66,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY1932,,,BRECKENRIDGE,LN,STATE,MINOR ARTERIAL,0,,,,,,,SUNDAY,2017/09/17 23:35:00+00,1935,7PM,2,2,MOTORCYCLE,39,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,PENILE,RD,METRO,PRIMARY COLLECTOR,0,,,,,,,MONDAY,2017/09/18 12:36:00+00,836,8AM,1,1,MOTOR VEHICLE,17,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,BLANTON,LN,METRO,PRIMARY COLLECTOR,0,,,,,,,MONDAY,2017/09/18 18:43:00+00,1443,2PM,1,1,MOTOR VEHICLE,18,FEMALE,TRUE,FALSE,CLOUDY,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,,CECIL,AVE,METRO,LOCAL,0,,GARLAND,,,,,TUESDAY,2017/09/19 18:45:00+00,1445,2PM,2,2,MOTOR VEHICLE,41,FEMALE,TRUE,FALSE,CLOUDY,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,US0031E,,,BARDSTOWN,RD,STATE,MAJOR ARTERIAL,0,,,,GOLDSMITH,,BELMONT,TUESDAY,2017/09/20 01:22:00+00,2122,9PM,2,1,PEDESTRIAN,47,MALE,TRUE,FALSE,CLOUDY,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,,,S,1ST,ST,METRO,MINOR ARTERIAL,0,,BURNETT,,,,,WEDNESDAY,2017/09/20 13:01:00+00,901,9AM,2,2,MOTOR VEHICLE,20,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY2054,,,ALGONQUIN,PKWY,STATE,MAJOR ARTERIAL,0,,16TH,,,,,WEDNESDAY,2017/09/20 16:30:00+00,1230,12PM,2,2,MOTOR VEHICLE,54,FEMALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY2054,,,ALGONQUIN,PKWY,STATE,MAJOR ARTERIAL,0,,16TH,,,,,WEDNESDAY,2017/09/20 16:30:00+00,1230,12PM,2,2,MOTOR VEHICLE,42,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
LOUISVILLE METRO POLICE DEPT,I 0065,,,I-65,,FEDERAL,INTERSTATE,0,I 0065,I65 S EXIT127 RAMP TO KY6162,,,,,WEDNESDAY,2017/09/20 23:45:00+00,1945,7PM,2,2,MOTOR VEHICLE,35,MALE,TRUE,FALSE,CLEAR,DRY,FALSE,,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,FALSE
LOUISVILLE METRO POLICE DEPT,KY2054,,,ALGONQUIN,PKWY,STATE,MAJOR ARTERIAL,0,,MCCLOSKEY,,,,,THURSDAY,2017/09/21 12:47:00+00,847,8AM,2,2,MOTOR VEHICLE,61,MALE,FALSE,TRUE,CLEAR,DRY,FALSE,,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,FALSE
